,commonName,GPS,chi_eff,chirp_mass,chirp_mass_source,far,far_unit,mass_1_source,mass_2_source,network_matched_filter_snr,redshift,version,name,graceid,superevent
0,GW190408_181802,1238782700.3,-0.03,23.7,18.3,1e-05,1/yr,24.6,18.4,14.67360038139546,0.29,1,GW190408_181802-v1,S190408an,S190408an
1,GW190412,1239082262.2,0.25,15.2,13.3,1e-05,1/yr,30.1,8.3,18.86182683162956,0.15,3,GW190412-v3,S190412m,S190412m
2,GW190413_052954,1239168612.5,-0.01,39.4,24.6,0.07168326663702794,1/yr,34.7,23.7,8.555396161858269,0.59,1,GW190413_052954-v1,S190413i,S190413i
3,GW190413_134308,1239198206.7,-0.03,57.0,33.0,0.043657319879159086,1/yr,47.5,31.8,9.030693020279005,0.71,1,GW190413_134308-v1,S190413ac,S190413ac
4,GW190421_213856,1239917954.3,-0.06,46.6,31.2,0.0007738314255311893,1/yr,41.3,31.9,10.55069569549375,0.49,1,GW190421_213856-v1,S190421ar,S190421ar
5,GW190424_180648,1240164426.1,0.13,43.4,31.0,0.7822864941910456,1/yr,40.5,31.8,10.03894424438477,0.39,1,GW190424_180648-v1,S190424ao,S190424ao
6,GW190425,1240215503.0,0.06,1.49,1.44,0.000751854698112682,1/yr,2.0,1.4,13.02922972476558,0.03,2,GW190425-v2,S190425z,S190425z
7,GW190426_152155,1240327333.3,-0.03,2.6,2.41,1.443741335492165,1/yr,5.7,1.5,10.12041364677255,0.08,1,GW190426_152155-v1,S190426c,S190426c
8,GW190503_185404,1240944862.3,-0.03,38.6,30.2,1e-05,1/yr,43.3,28.4,12.09959960690361,0.27,1,GW190503_185404-v1,S190503bf,S190503bf
9,GW190512_180714,1241719652.4,0.03,18.6,14.6,1e-05,1/yr,23.3,12.6,12.26449406234808,0.27,1,GW190512_180714-v1,S190512at,S190512at
10,GW190513_205428,1241816086.8,0.11,29.5,21.6,1e-05,1/yr,35.7,18.0,12.28987773592599,0.37,1,GW190513_205428-v1,S190513bm,S190513bm
11,GW190514_065416,1241852074.8,-0.19,48.1,28.5,0.5266876793595081,1/yr,39.0,28.4,8.304493549646196,0.67,1,GW190514_065416-v1,S190514n,S190514n
12,GW190517_055101,1242107479.8,0.52,35.9,26.6,5.720513515363399e-05,1/yr,37.4,25.3,10.24122163775042,0.34,1,GW190517_055101-v1,S190517h,S190517h
13,GW190519_153544,1242315362.4,0.31,65.1,44.5,1e-05,1/yr,66.0,40.5,12.04985270704691,0.44,1,GW190519_153544-v1,S190519bj,S190519bj
14,GW190521,1242442967.4,0.03,114.8,69.2,0.0002039635028,1/yr,95.3,69.0,14.376046048896756,0.64,3,GW190521-v3,S190521g,S190521g
15,GW190521_074359,1242459857.5,0.09,39.8,32.1,1e-05,1/yr,42.2,32.8,24.38410871911596,0.24,1,GW190521_074359-v1,S190521r,S190521r
16,GW190527_092055,1242984073.8,0.11,34.9,24.3,0.062270351314133505,1/yr,36.5,22.6,8.867476217742222,0.44,1,GW190527_092055-v1,S190527w,S190527w
17,GW190602_175927,1243533585.1,0.07,72.9,49.1,1.1478437256536947e-05,1/yr,69.1,47.8,12.13087548611321,0.47,1,GW190602_175927-v1,S190602aq,S190602aq
18,GW190620_030421,1245035079.3,0.33,57.5,38.3,0.0029209383726319974,1/yr,57.1,35.5,10.91846314686192,0.49,1,GW190620_030421-v1,S190620e,S190620e
19,GW190630_185205,1245955943.2,0.1,29.4,24.9,1e-05,1/yr,35.1,23.7,15.64051208963232,0.18,1,GW190630_185205-v1,S190630ag,S190630ag
20,GW190701_203306,1246048404.6,-0.07,55.5,40.3,0.010861368605368522,1/yr,53.9,40.8,11.58996006414267,0.37,1,GW190701_203306-v1,S190701ah,S190701ah
21,GW190706_222641,1246487219.3,0.28,75.1,42.7,1e-05,1/yr,67.0,38.2,12.34834506062684,0.71,1,GW190706_222641-v1,S190706ai,S190706ai
22,GW190707_093326,1246527224.2,-0.05,9.89,8.5,1e-05,1/yr,11.6,8.4,12.97817936002082,0.16,1,GW190707_093326-v1,S190707q,S190707q
23,GW190708_232457,1246663515.4,0.02,15.5,13.2,2.8252506364808675e-05,1/yr,17.6,13.2,13.07130069939341,0.18,1,GW190708_232457-v1,S190708ap,S190708ap
24,GW190719_215514,1247608532.9,0.32,38.7,23.5,1.559222128828275,1/yr,36.5,20.8,7.993907515410997,0.64,1,GW190719_215514-v1,S190719an,S190719an
