  z                       Dominik                 Belczynski              Pop3                 Primordial
  1.00000000E-02	  9.50061920E-06	  2.69581708E-05	  4.74127388E-08	  1.03766211E-04
  2.00000000E-02	  3.71625958E-05	  1.05535734E-04	  2.82321634E-07	  4.01318878E-04
  3.00000000E-02	  8.17876180E-05	  2.32453473E-04	  1.33175783E-06	  8.73274155E-04
  4.00000000E-02	  1.42254745E-04	  4.04641319E-04	  5.00948880E-06	  1.50179035E-03
  5.00000000E-02	  2.17514988E-04	  6.19223799E-04	  1.51218374E-05	  2.27044630E-03
  6.00000000E-02	  3.14097347E-04	  8.94906587E-04	  3.68569851E-05	  3.24164770E-03
  7.00000000E-02	  4.25781500E-04	  1.21410210E-03	  7.29641259E-05	  4.34478044E-03
  8.00000000E-02	  5.51563274E-04	  1.57405082E-03	  1.17993075E-04	  5.56488108E-03
  9.00000000E-02	  6.90501521E-04	  1.97216403E-03	  1.56733215E-04	  6.88818315E-03
 10.00000000E-02	  8.41713899E-04	  2.40601249E-03	  1.94094956E-04	  8.30202516E-03
  1.10000000E-01	  1.01659547E-03	  2.90828214E-03	  2.37554898E-04	  9.91396126E-03
  1.20000000E-01	  1.20397346E-03	  3.44715066E-03	  2.88119614E-04	  1.16090173E-02
  1.30000000E-01	  1.40300426E-03	  4.02028948E-03	  3.50295950E-04	  1.33757159E-02
  1.40000000E-01	  1.61289601E-03	  4.62551070E-03	  4.30640456E-04	  1.52035117E-02
  1.50000000E-01	  1.83290529E-03	  5.26075811E-03	  5.19541678E-04	  1.70827219E-02
  1.60000000E-01	  2.07811979E-03	  5.96944385E-03	  6.13979540E-04	  1.91499270E-02
  1.70000000E-01	  2.33360853E-03	  6.70882221E-03	  7.13542932E-04	  2.12619969E-02
  1.80000000E-01	  2.59866211E-03	  7.47692592E-03	  8.26549266E-04	  2.34102127E-02
  1.90000000E-01	  2.87255466E-03	  8.27190432E-03	  9.57807598E-04	  2.55865834E-02
  2.00000000E-01	  3.15321808E-03	  9.09201630E-03	  1.10407183E-03	  2.77837917E-02
  2.10000000E-01	  3.45967104E-03	  9.98872371E-03	  1.26582459E-03	  3.01554507E-02
  2.20000000E-01	  3.77418930E-03	  1.09110832E-02	  1.43630364E-03	  3.25422972E-02
  2.30000000E-01	  4.09616557E-03	  1.18750206E-02	  1.61806136E-03	  3.49377990E-02
  2.40000000E-01	  4.42502926E-03	  1.28868693E-02	  1.81005545E-03	  3.73359921E-02
  2.50000000E-01	  4.76024422E-03	  1.39262736E-02	  2.01406356E-03	  3.97314389E-02
  2.60000000E-01	  5.12150839E-03	  1.50514379E-02	  2.24280551E-03	  4.22859857E-02
  2.70000000E-01	  5.48916064E-03	  1.62054261E-02	  2.48929294E-03	  4.48330228E-02
