,scale_pos_weight_xgbqts,max_depth_xgbqts,n_estimators_xgbqts,val_xgb_dense_QTS_0_roc,test_xgb_dense_QTS_0_acc,val_xgb_dense_QTS_0_acc,test_xgb_dense_QTS_0_f1,val_xgb_dense_QTS_0_f1,test_xgb_dense_QTS_0_roc
56,1.0,5.0,120.0,0.9599227189944981,0.8936173192740952,0.9736099903324518,0.007318758051567372,0.15111796453353893,0.8875407281807711
57,1.0,5.0,135.0,0.9591394082424305,0.8913343604313811,0.9728110194070038,0.007166099959782091,0.1490372593148287,0.8866673478990897
58,1.0,5.0,150.0,0.9583958277541691,0.8897216831069049,0.971900192551993,0.00709782021257431,0.14407398393769774,0.885621781341055
59,1.0,5.0,165.0,0.9582202227120603,0.889023389823726,0.9714447791244877,0.007017920761945682,0.14086538461538461,0.8858537801268623
60,1.0,6.0,105.0,0.9565396928683281,0.899191660497409,0.9759989133995414,0.007290209445747049,0.16369710467706014,0.8871043183895694
61,1.0,6.0,120.0,0.9562769127787238,0.8976129974589327,0.9758071603774339,0.007255655142979086,0.16261061946902655,0.8863065499534314
62,1.0,6.0,135.0,0.9560708485162479,0.8964925268612818,0.9753916954962009,0.00710145483858585,0.16076294277929154,0.8859726414939935
63,1.0,6.0,150.0,0.9564044504277212,0.8952119890353949,0.9750561277075127,0.0069776260902540774,0.15849056603773584,0.884975683779477
64,1.0,6.0,165.0,0.95560823998667,0.8947317873506873,0.9750161791612403,0.00698350383148994,0.15918257596127994,0.8841590338811586
65,1.0,7.0,105.0,0.9560174694864958,0.9016166790051822,0.9769177299638067,0.007228088594560762,0.16527015313493212,0.8854570045508624
66,1.0,7.0,120.0,0.9553394478248245,0.8996938714259989,0.9765821621751184,0.007090512972865914,0.1637660485021398,0.8837307972278945
67,1.0,7.0,135.0,0.9547487665912766,0.8984733588107005,0.9759349957255056,0.00712245137557234,0.16006692693809257,0.8828718712920105
68,1.0,7.0,150.0,0.9549638197772973,0.8982012445226996,0.975759222121907,0.007181048276938687,0.15862451469772604,0.8830850126947477
69,1.0,7.0,165.0,0.9548973951344786,0.8673823005662378,0.975543499972036,0.006237162091248481,0.15744563721442334,0.8935332068712231
70,1.0,8.0,105.0,0.9537102832584918,0.9041077252446027,0.9788831984404087,0.007537792503623938,0.17791601866251944,0.8872566737988302
71,1.0,8.0,120.0,0.9533804267318289,0.903867624402249,0.9786115483257565,0.007519107622392069,0.17605417051400432,0.8875638819650555
72,1.0,8.0,135.0,0.9534293696694418,0.8645070929790512,0.9784038158851399,0.006105615404937329,0.1766676819981724,0.8918638778461516
73,1.0,8.0,150.0,0.9527079210005147,0.9022069269093019,0.977988351003907,0.0074729916334984985,0.17341734173417342,0.8861829587611048
74,1.0,8.0,165.0,0.9522157579798877,0.9017907521158887,0.977740670017018,0.007441559492032678,0.17231134878193702,0.8857005372304011
75,10.0,4.0,105.0,0.9619675045355152,0.8673062686328258,0.9644378041083085,0.0062336105491870835,0.12776797961983147,0.8871096295532799
76,10.0,4.0,120.0,0.9619186394240802,0.8668860921587067,0.964613577711907,0.006243745052056104,0.12729064039408866,0.8867376073024483
77,10.0,4.0,135.0,0.9609532056875059,0.8778466956121571,0.9639104832975128,0.006444578254430647,0.12512105365097811,0.885481496445693
78,10.0,4.0,150.0,0.9605883273807981,0.8768802897216831,0.964046308354839,0.006394316163410302,0.1265527950310559,0.8849592790257625
79,10.0,4.0,165.0,0.9594509658890197,0.8780027611596871,0.9628238828389035,0.006485147708200942,0.12323346523459582,0.8851437594077513
80,10.0,5.0,105.0,0.9577762924651729,0.8684787610796535,0.9653726000910827,0.006258787246587147,0.13041733547351525,0.8881072030050399
81,10.0,5.0,120.0,0.957425413142211,0.8678304888052982,0.9651568779412117,0.006228280001805298,0.12901937287797086,0.8882774801519507
82,10.0,5.0,135.0,0.9574446945777803,0.8667620400568239,0.9646455365489249,0.00629728560130124,0.12670219064535226,0.887206114547395
83,10.0,5.0,150.0,0.9573011928340458,0.8673062686328258,0.965045022011649,0.0062336105491870835,0.12865962955586535,0.8871096295532799
84,10.0,5.0,165.0,0.9566394076587341,0.8668860921587067,0.9649811043376132,0.006243745052056104,0.1288014311270125,0.8867376073024483
85,10.0,6.0,105.0,0.9569613745566146,0.8778466956121571,0.9683287925152404,0.006444578254430647,0.13600697471665216,0.885481496445693
86,10.0,6.0,120.0,0.9577385954102634,0.8768802897216831,0.9675697701360647,0.006394316163410302,0.13361792956243332,0.8849592790257625
