,scale_pos_weight_xgbqts,max_depth_xgbqts,n_estimators_xgbqts,val_xgb_dense_QTS_0_roc,test_xgb_dense_QTS_0_acc,val_xgb_dense_QTS_0_acc,test_xgb_dense_QTS_0_f1,val_xgb_dense_QTS_0_f1,test_xgb_dense_QTS_0_roc
69,1.0,7.0,165.0,0.9586408148338563,0.9327677624602333,0.9873443005409033,0.009783697766252137,0.24282982791586996,0.8892260250957026
70,1.0,8.0,105.0,0.9581203328127541,0.9336161187698834,0.9876798683295915,0.009434525586672241,0.24707031250000003,0.8904736601057077
71,1.0,8.0,120.0,0.9577984048279626,0.9336061145681186,0.9876079609463012,0.009373973788697495,0.2459893048128342,0.8889723035127246
72,1.0,8.0,135.0,0.9571836266640891,0.9333159927169411,0.9874801255982295,0.0093924622518131,0.2440906898215147,0.88815231349785
73,1.0,8.0,150.0,0.9565770202488928,0.933438043978471,0.9875520329815198,0.00940952267516303,0.24588576960309777,0.8880272397203166
74,1.0,8.0,165.0,0.9564397445993886,0.933360011204706,0.9874481667612116,0.009457530335474662,0.24434824434824437,0.8866970305620803
75,10.0,4.0,105.0,0.9609451895911845,0.8884971688109006,0.9750401482890038,0.006985032074126872,0.16381156316916487,0.8978784474001713
76,10.0,4.0,120.0,0.9598817726966623,0.8901518637827888,0.9755914382275629,0.007053589191731024,0.16598416598416596,0.8978395149190348
77,10.0,4.0,135.0,0.9601216232486094,0.8920826747233839,0.9762066458401579,0.007105776665071242,0.16908482142857142,0.8973957472397651
78,10.0,4.0,150.0,0.9593448790802999,0.8943856419696272,0.9770215961841149,0.007222253568808892,0.17261219792865362,0.8967695837414655
79,10.0,4.0,165.0,0.9588866190884111,0.896714620140459,0.9775249478671472,0.007422077797219606,0.17386196769456683,0.8966938136617703
80,10.0,5.0,105.0,0.9595865585474272,0.8979811520838752,0.9782839702463227,0.007668054960881243,0.18083182640144665,0.8955338541314617
81,10.0,5.0,120.0,0.959644568234763,0.9017327277456532,0.9791788176828246,0.007758045942178314,0.18409517845961176,0.8957555676973896
82,10.0,5.0,135.0,0.9591487765685924,0.9034574521298946,0.9797700561676561,0.007977137687863648,0.18689788053949905,0.8951528469326953
83,10.0,5.0,150.0,0.9592905369515969,0.9053702555073131,0.980233459304416,0.008053860190020764,0.1883202099737533,0.8936669009701673
84,10.0,5.0,165.0,0.9590639849477944,0.9075931891394385,0.9807448006967027,0.008203410213460466,0.19073203492276697,0.8942642176945835
85,10.0,6.0,105.0,0.9583342477909234,0.9101982832789771,0.9817115555164948,0.008264097578221672,0.199930094372597,0.8924302941925817
86,10.0,6.0,120.0,0.9581402465860185,0.9121611076652194,0.9822948042920718,0.00831281483656735,0.20230381569474445,0.8922774228023903
87,10.0,6.0,135.0,0.9577924608536272,0.9135556933912243,0.982614392662251,0.008400275418866194,0.20351390922401172,0.8915519880129512
88,10.0,6.0,150.0,0.9576774824040848,0.9143560295324036,0.9828141353936131,0.00847810979847116,0.20539342445511635,0.8910866488909173
89,10.0,6.0,165.0,0.9571210349605309,0.9155125152564076,0.9830538266712474,0.00854660718478516,0.20591538749532012,0.8897043669371831
90,10.0,7.0,105.0,0.960870106786077,0.917937533764181,0.9836051166098065,0.008844852585790238,0.21198156682027652,0.8940723209466882
91,10.0,7.0,120.0,0.9585508964135908,0.9195442085675984,0.9840205814910395,0.008971041281577326,0.2125984251968504,0.8926391529535962
